PlayerID,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,
player780,2002-03,26,IND,NBA,C,73,2270,19.3,.579,.024,.535,9.4,20.2,14.9,14.5,1.5,1.4,12.5,18.7,6.1,3.4,9.6,.202,2.0,1.8,3.8,3.3,
player780,2003-04,27,SAC,NBA,PF,72,2621,19.4,.579,.052,.450,8.5,23.3,16.1,18.5,1.3,2.3,14.1,17.6,7.1,3.0,10.0,.184,2.2,2.2,4.3,4.2,
player780,2004-05,28,SAC,NBA,C,56,2089,20.7,.596,.031,.471,7.4,20.4,13.9,16.1,1.7,2.3,10.0,17.4,6.3,2.3,8.6,.198,2.5,2.0,4.5,3.4,
player780,2005-06,29,SAC,NBA,C,79,2923,17.5,.576,.100,.385,4.9,19.5,12.3,21.5,1.1,1.6,14.9,18.9,5.5,3.6,9.1,.150,1.1,1.7,2.8,3.5,
player780,2006-07,30,SAC,NBA,C,63,1783,13.5,.508,.067,.302,5.1,21.7,13.2,20.4,1.1,1.7,16.2,16.8,1.0,1.7,2.7,.072,-1.7,1.6,-0.1,0.8,
player780,2007-08,31,SAC,NBA,C,72,2513,16.8,.558,.124,.424,8.0,23.7,16.0,16.6,1.4,2.3,16.0,18.3,3.8,2.7,6.5,.125,0.7,1.9,2.6,2.9,
player780,2008-09,32,TOT,NBA,C,70,2100,16.7,.566,.091,.443,8.3,21.9,15.0,17.9,1.3,1.3,15.1,18.4,3.6,1.5,5.1,.117,0.6,0.6,1.2,1.7,
player780,2008-09,32,SAC,NBA,C,43,1354,15.7,.562,.111,.402,7.1,22.7,14.8,17.8,1.1,1.3,15.4,17.9,1.9,0.6,2.6,.091,0.0,0.3,0.3,0.8,
player780,2008-09,32,CHI,NBA,C,27,746,18.6,.574,.058,.513,10.3,20.5,15.4,18.0,1.5,1.2,14.5,19.4,1.7,0.9,2.6,.165,1.7,1.1,2.8,0.9,
player780,2009-10,33,CHI,NBA,C,82,1950,12.9,.530,.227,.379,4.8,17.8,11.4,12.2,1.2,1.1,13.6,18.1,1.5,2.5,4.0,.098,-1.3,0.5,-0.8,0.6,
